BSSID,SSID,Frame Count,Avg RSSI,Channel,Supported Rates,Vendor Specific,HT Capabilities,Seq Min,Seq Max,Country,Power Constraint
7C:F1:7E:C1:7B:95,601A,296,-41.2,4,"1, 2, 6, 6, 9, 11, 12, 18, 24, 36, 48, 54",Microsoft (WPS); OUI:000C43; OUI:000CE7; OUI:001D0F,"ldpc, ht40_supported, sgi_20, sgi_40, tx_stbc",2297,3723,,
64:70:02:18:B9:22,601A,333,-22.6,4,"1, 2, 6, 6, 9, 11, 12, 18, 24, 36, 48, 54",,,1559,1894,,
